Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
superpathway of phenylethylamine degradation	"tynA // ""feaB"" // ""paaH"" // ""paaE"" // ""paaA"" // ""paaC"" // ""paaB"" // ""paaJ"" // ""paaG"" // ""paaZ"" // ""paaK"" // ""paaF"""	"copper-containing amine oxidase // ""FeaB"" // ""3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)"" // ""ring 1,2-phenylacetyl-CoA epoxidase"" // ""&beta;-ketoadipyl-CoA thiolase"" // ""predicted ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"" // ""oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"" // ""phenylacetate-CoA ligase"" // ""predicted 2,3-dehydroadipyl-CoA hydratase"""	"Amines and Polyamines Degradation // ""Phenolic Compounds Degradation"" // ""Superpathways"""	
superpathway of phospholipid biosynthesis I (bacteria)	"clsA // ""clsB"" // ""pssA"" // ""psd"" // ""gpsA"" // ""plsC"" // ""cdsA"" // ""plsB"" // ""pgsA"" // ""pgpA"" // ""pgpB"" // ""pgpC"" // ""clsC"" // ""acpP"" // ""entB"""	"cardiolipin synthase 1 // ""cardiolipin synthase 2"" // ""PssA"" // ""phosphatidylserine decarboxylase, heterodimer"" // ""glycerol-3-phosphate dehydrogenase, biosynthetic"" // ""1-acylglycerol-3-phosphate <i>O</i>-acyltransferase"" // ""CDP-diglyceride synthetase"" // ""glycerol-3-phosphate acyltransferase"" // PHOSPHAGLYPSYN-MONOMER // ""phosphatidylglycerophosphatase A"" // PGPPHOSPHAB-MONOMER // ""phosphatidylglycerophosphatase C"" // ""cardiolipin synthase 3"""	"Phospholipid Biosynthesis // ""Superpathways"""	
superpathway of polyamine biosynthesis I	"speA // ""adiA"" // ""speB"" // ""speC"" // ""speF"" // ""speD"" // ""speE"" // ""cadA"" // ""ldcC"""	"SpeA // ""Adi"" // ""SpeB"" // ""ornithine decarboxylase, biosynthetic"" // ""ornithine decarboxylase, degradative"" // ""&alpha; cleavage product of SpeD"" // ""&beta; cleavage product of SpeD"" // ""spermidine synthase"" // ""lysine decarboxylase 1"" // ""lysine decarboxylase 2"""	"Amines and Polyamines Biosynthesis // ""Superpathways"""	
superpathway of purine deoxyribonucleosides degradation	"deoD // ""add"" // ""deoB"" // ""deoC"" // ""adhE"" // ""mhpF"""	"purine nucleoside phosphorylase // ""adenosine deaminase"" // ""phosphopentomutase"" // DEOXYRIBOSE-P-ALD-MONOMER // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	"Nucleosides and Nucleotides Degradation // ""Superpathways"""	
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	"purF // ""purD"" // ""purL"" // ""purM"" // ""purT"" // ""purC"" // ""purH"" // ""purE"" // ""purK"" // ""guaB"" // ""guaA"" // ""gmk"" // ""purA"" // ""purB"" // ""adk"" // ""atpB"" // ""atpF"" // ""atpE"" // ""atpD"" // ""atpG"" // ""atpA"" // ""atpH"" // ""atpC"" // ""nrdA"" // ""nrdB"" // ""nrdE"" // ""nrdF"" // ""ndk"" // ""nrdD"" // ""nrdH"" // ""fldA"" // ""trxA"" // ""trxC"""	"PurF // GLYCRIBONUCSYN-MONOMER // FGAMSYN-MONOMER // ""PurM"" // ""phosphoribosylglycinamide formyltransferase 2"" // ""PurC"" // AICARTRANSIMPCYCLO-CPLX // ""<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase"" // ""<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase"" // ""GuaB"" // ""GMP synthetase"" // ""guanylate kinase"" // ""adenylosuccinate synthetase"" // ""adenylosuccinate lyase"" // ""adenylate kinase"" // ""ATP synthase F<sub>0</sub> complex"" // ""ATP synthase F<sub>1</sub> complex"" // ""ribonucleoside diphosphate reductase 1"" // ""ribonucleoside-diphosphate reductase 2"" // ""nucleoside diphosphate kinase"" // ""ribonucleoside-triphosphate reductase"""	"Purine Nucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	"pdxK // ""pdxY"" // ""pdxH"" // ""epd"" // ""dxs"" // ""pdxJ"" // ""pdxB"" // ""serC"" // ""pdxA"""	"pyridoxal kinase I / hydroxymethylpyrimidine kinase // ""pyridoxal kinase 2"" // ""PdxH"" // ""Epd"" // ""1-deoxyxylulose-5-phosphate synthase"" // ""PdxJ"" // ""erythronate-4-phosphate dehydrogenase"" //  // ""PdxA"""	"Superpathways // ""Vitamin B<sub>6</sub> Biosynthesis"""	
superpathway of pyrimidine deoxyribonucleosides degradation	"cdd // ""deoA"" // ""deoB"" // ""deoC"" // ""adhE"" // ""mhpF"""	"cytidine deaminase // ""DeoA"" // ""phosphopentomutase"" // DEOXYRIBOSE-P-ALD-MONOMER // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	"Pyrimidine Nucleotides Degradation // ""Superpathways"""	
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	"mazG // ""dut"" // ""nudI"" // ""thyA"" // ""tmk"" // ""nrdA"" // ""nrdB"" // ""carB"" // ""carA"" // ""pyrB"" // ""pyrI"" // ""pyrC"" // ""pyrE"" // ""pyrF"" // ""pyrD"" // ""pyrH"" // ""ndk"" // ""pyrG"" // ""trxA"" // ""trxC"""	"nucleoside triphosphate pyrophosphohydrolase // ""deoxyuridine triphosphatase"" // ""pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase"" // ""thymidylate synthase"" // DTMPKI-MONOMER // ""ribonucleoside diphosphate reductase 1"" // ""carbamoyl phosphate synthetase, &beta; chain"" // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""aspartate carbamoyltransferase, catalytic subunit"" // ""aspartate carbamoyltransferase, regulatory subunit"" // ""PyrC"" // ""PyrE"" // ""PyrF"" // ""dihydroorotate dehydrogenase, type 2"" // ""UMP kinase"" // ""nucleoside diphosphate kinase"" // ""CTP synthase"""	"Pyrimidine Deoxyribonucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	"nrdE // ""nrdF"" // ""dcd"" // ""nrdD"" // ""mazG"" // ""dut"" // ""nudI"" // ""thyA"" // ""tmk"" // ""ndk"" // ""nrdA"" // ""nrdB"" // ""fldA"" // ""nrdH"" // ""trxA"" // ""trxC"""	"ribonucleoside-diphosphate reductase 2 // ""Dcd"" // ""ribonucleoside-triphosphate reductase"" // ""nucleoside triphosphate pyrophosphohydrolase"" // ""deoxyuridine triphosphatase"" // ""pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase"" // ""thymidylate synthase"" // DTMPKI-MONOMER // ""nucleoside diphosphate kinase"" // ""ribonucleoside diphosphate reductase 1"""	"Pyrimidine Deoxyribonucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	"an oxidized flavodoxin // ""an oxidized NrdH glutaredoxin-like protein"" // ""an oxidized thioredoxin"" // ""dTTP"" // ""ADP"" // ""a 7,8-dihydrofolate"" // ""diphosphate"" // ""ammonium"""
superpathway of pyrimidine nucleobases salvage	"pyrH // ""ndk"" // ""pyrG"" // ""upp"""	"UMP kinase // ""nucleoside diphosphate kinase"" // ""CTP synthase"" // ""uracil phosphoribosyltransferase subunit"""	"Pyrimidine Nucleotides Salvage // ""Superpathways"""	
superpathway of pyrimidine ribonucleosides salvage	"rihC // ""rihA"" // ""rihB"" // ""cdd"" // ""udk"" // ""upp"" // ""pyrH"" // ""pyrG"" // ""cmk"" // ""ndk"""	"ribonucleoside hydrolase 3 // ""ribonucleoside hydrolase 1 (pyrimidine-specific)"" // ""ribonucleoside hydrolase 2 (pyrimidine-specific)"" // ""cytidine deaminase"" // UDK-MONOMER // ""uracil phosphoribosyltransferase subunit"" // ""UMP kinase"" // ""CTP synthase"" // ""cytidylate kinase"" // ""nucleoside diphosphate kinase"""	"Pyrimidine Nucleotides Salvage // ""Superpathways"""	
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	"carB // ""carA"" // ""pyrB"" // ""pyrI"" // ""pyrC"" // ""pyrE"" // ""pyrF"" // ""pyrD"" // ""pyrH"" // ""ndk"" // ""pyrG"""	"carbamoyl phosphate synthetase, &beta; chain // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""aspartate carbamoyltransferase, catalytic subunit"" // ""aspartate carbamoyltransferase, regulatory subunit"" // ""PyrC"" // ""PyrE"" // ""PyrF"" // ""dihydroorotate dehydrogenase, type 2"" // ""UMP kinase"" // ""nucleoside diphosphate kinase"" // ""CTP synthase"""	"Pyrimidine Ribonucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	
superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	"metA // ""metE"" // ""metH"" // ""metB"" // ""malY"" // ""metC"" // ""lysC"" // ""asd"" // ""thrA"" // ""metL"" // ""metK"""	"homoserine <i>O</i>-succinyltransferase // HOMOCYSMET-MONOMER // ""cobalamin-dependent methionine synthase"" // ""MetB"" // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""MetC"" // ""aspartate kinase III"" // ""Asd"" // ""ThrA"" // ""MetL"" // ""methionine adenosyltransferase"""	Superpathways	
superpathway of sulfate assimilation and cysteine biosynthesis	"cysH // ""cysJ"" // ""cysI"" // ""cysD"" // ""cysN"" // ""cysC"" // ""cysE"" // ""cysK"" // ""cysM"" // ""serC"" // ""serA"" // ""serB"" // ""aphA"" // ""trxA"" // ""trxC"""	"CysH // ""assimilatory sulfite reductase (NADPH)"" // ""sulfate adenylyltransferase"" // ""CysC"" // ""serine acetyltransferase"" // ""<i>O</i>-acetylserine sulfhydrylase A"" // ""cysteine synthase B"" //  //  // PSERPHOSPHA-MONOMER // ""acid phosphatase / phosphotransferase"""	Superpathways	
superpathway of tetrahydrofolate biosynthesis	"folP // ""folC"" // ""folA"" // ""folM"" // ""folK"" // ""folB"" // ""nudB"" // ""folE"" // ""pabB"" // ""pabA"" // ""pabC"""	"FolP // ""bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase"" // ""dihydrofolate reductase"" // G6862-MONOMER // H2PTERIDINEPYROPHOSPHOKIN-MONOMER // ""dihydroneopterin aldolase"" // DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER // ""dihydroneopterin triphosphate pyrophosphohydrolase"" // ""GTP cyclohydrolase I"" // ""PabB"" // ""PabA"" // ""pabC"""	"Folate Biosynthesis // ""Superpathways"""	
superpathway of thiamine diphosphate biosynthesis I	"thiD // ""thiC"" // ""thiL"" // ""thiE"" // ""thiG"" // ""dxs"" // ""thiF"" // ""thiH"" // ""iscS"" // ""sufS"" // ""thiI"" // ""fdx"" // ""thiS"""	" // THIC-MONOMER // ""thiamine monophosphate kinase"" // THIE-MONOMER // ""1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase"" // ""1-deoxyxylulose-5-phosphate synthase"" // ""ThiI"" // ""ThiS adenylyltransferase"" // ""2-iminoacetate synthase"" // ""cysteine desulfurase"" // ""L-cysteine desulfurase"""	"Thiamine Biosynthesis // ""Superpathways"""	
superpathway of ubiquinol-8 biosynthesis (prokaryotic)	"ubiC // ""ubiF"" // ""ubiE"" // ""ubiH"" // ""ubiG"" // ""ubiI"" // ""ubiD"" // ""ubiA"" // ""ispB"""	"CHORPYRLY-MONOMER // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON // ""bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"" // OCTAPRENYL-METHOXYPHENOL-OH-MONOMER // ""bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase"" // ""2-octaprenylphenol hydroxylase"" // ""3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer"" // 4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER // ""octaprenyl diphosphate synthase"""	"Ubiquinol Biosynthesis // ""Superpathways"""	
superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	"fabA // ""fabB"" // ""tesA"" // ""fabF"" // ""fabG"" // ""fabZ"" // ""fabI"" // ""entB"" // ""acpP"""	"&beta;-hydroxyacyl-ACP dehydratase/isomerase // ""KASI"" // ""multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"" // ""KASII"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""enoyl-[acyl-carrier-protein] reductase"""	"Superpathways // ""Unsaturated Fatty Acid Biosynthesis"""	
taurine degradation IV	tauD	taurine dioxygenase	Taurine Degradation	"H<SUP>+</SUP> // ""2-aminoacetaldehyde"" // ""sulfite"" // ""succinate"" // ""CO<SUB>2</SUB>"""
TCA cycle I (prokaryotic)	"mdh // ""fumC"" // ""fumB"" // ""fumA"" // ""sucD"" // ""sucC"" // ""sucA"" // ""sucB"" // ""lpd"" // ""icd"" // ""gltA"" // ""acnA"" // ""acnB"" // ""sdhD"" // ""sdhC"" // ""sdhB"" // ""sdhA"" // ""mqo"""	"malate dehydrogenase // ""fumarase C"" // ""fumarase B"" // ""fumarase A"" // ""succinyl-CoA synthetase, &alpha; subunit"" // ""succinyl-CoA synthetase, &beta; subunit"" // ""2-oxoglutarate dehydrogenase complex"" // ""Icd"" // ""citrate synthase monomer"" // ""aconitate hydratase 1"" // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"" // ""succinate:quinone oxidoreductase subcomplex"" // EG12069-MONOMER"	TCA cycle	"an electron-transfer quinol // ""an ubiquinol"" // ""H<SUP>+</SUP>"" // ""NADPH"" // ""CO<SUB>2</SUB>"" // ""NADH"" // ""ATP"""
tetrahydrofolate biosynthesis	"folP // ""folC"" // ""folA"" // ""folM"""	"FolP // ""bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase"" // ""dihydrofolate reductase"" // G6862-MONOMER"	Folate Biosynthesis	"a tetrahydrofolate // ""NADP<sup>+</sup>"" // ""7,8-dihydrofolate monoglutamate"" // ""phosphate"" // ""ADP"" // ""diphosphate"""
tetrahydromonapterin biosynthesis	"folM // ""folX"" // ""folE"""	"G6862-MONOMER // ""dihydroneopterin triphosphate 2'-epimerase"" // ""GTP cyclohydrolase I"""	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis"	"formate // ""phosphate"" // ""5,6,7,8-tetrahydromonapterin"" // ""NADP<sup>+</sup>"""
tetrapyrrole biosynthesis I (from glutamate)	"hemD // ""hemC"" // ""hemB"" // ""hemL"" // ""hemA"" // ""gltX"" // ""gltW"" // ""gltT"" // ""gltU"" // ""gltV"""	"UROGENIIISYN-MONOMER // OHMETHYLBILANESYN-MONOMER // ""porphobilinogen synthase"" // ""glutamate-1-semialdehyde aminotransferase"" //  // GLURS-MONOMER"	Tetrapyrrole Biosynthesis	"diphosphate // ""AMP"" // ""NADP<sup>+</sup>"" // ""ammonium"" // ""uroporphyrinogen-III"""
thiamine diphosphate biosynthesis I (E. coli)	"thiL // ""thiE"""	thiamine monophosphate kinase // THIE-MONOMER	Thiamine Diphosphate Biosynthesis	"CO<SUB>2</SUB> // ""diphosphate"" // ""thiamine diphosphate"" // ""ADP"""
thiamine salvage II	"thiM // ""thiE"" // ""thiL"" // ""pdxK"" // ""thiD"""	"hydroxyethylthiazole kinase // THIE-MONOMER // ""thiamine monophosphate kinase"" // ""pyridoxal kinase I / hydroxymethylpyrimidine kinase"" // "	"Thiamine Salvage // ""Superpathways"""	"thiamine diphosphate // ""ADP"" // ""diphosphate"""
thiazole biosynthesis I (facultative anaerobic bacteria)	"thiG // ""dxs"" // ""thiF"" // ""thiH"" // ""iscS"" // ""sufS"" // ""thiI"" // ""fdx"" // ""thiS"""	"1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase // ""1-deoxyxylulose-5-phosphate synthase"" // ""ThiI"" // ""ThiS adenylyltransferase"" // ""2-iminoacetate synthase"" // ""cysteine desulfurase"" // ""L-cysteine desulfurase"""	Thiazole Biosynthesis	"L-alanine // ""4-methylphenol"" // ""5'-deoxyadenosine"" // ""L-methionine"" // ""NADP<sup>+</sup>"" // ""diphosphate"" // ""AMP"" // ""an oxidized ferredoxin [iron-sulfur] cluster"" // ""CO<SUB>2</SUB>"" // ""2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate"" // ""H<sub>2</sub>O"""
thioredoxin pathway	"trxB // ""trxA"" // ""trxC"""	thioredoxin reductase monomer	Reductants Biosynthesis	"an reduced unknown electron acceptor // ""NADP<sup>+</sup>"""
thiosulfate disproportionation III (rhodanese)	"glpE // ""pspE"" // ""sseA"" // ""ygaP"""	"thiosulfate sulfurtransferase // ""thiosulfate sulfurtransferase"" // EG11600-MONOMER // ""inner membrane protein with thiosulfate sulfurtransferase activity"""	Thiosulfate Disproportionation	"H<SUP>+</SUP> // ""thiocyanate"" // ""sulfite"""
"TorSR Two-Component Signal Transduction System, TMAO dependent"	"torS // ""torR"""		Signal transduction pathways	"ADP // ""TorR-Phosphorylated DNA-binding transcriptional dual regulator"""
"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"	"ispA // ""idi"""	"FPPSYN-MONOMER // ""isopentenyl diphosphate isomerase"""	|All-Trans-Farnesyl-PP-Biosynthesis|	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate // ""diphosphate"""
trehalose biosynthesis I	"otsA // ""otsB"""	TREHALOSE6PSYN-MONOMER // TREHALOSEPHOSPHASYN-MONOMER	Trehalose Biosynthesis	"&alpha;,&alpha;-trehalose // ""phosphate"" // ""H<SUP>+</SUP>"" // ""UDP"""
trehalose degradation I (low osmolarity)	"treC // ""glk"""	TRE6PHYDRO-MONOMER // GLUCOKIN-MONOMER	Trehalose Degradation	"D-glucopyranose 6-phosphate // ""ADP"" // ""H<SUP>+</SUP>"""
trehalose degradation II (trehalase)	"treF // ""glk"""	cytoplasmic trehalase // GLUCOKIN-MONOMER	Trehalose Degradation	"D-glucopyranose 6-phosphate // ""ADP"" // ""H<SUP>+</SUP>"" // ""&beta;-D-glucopyranose"" // ""&alpha;-D-glucopyranose"""
trehalose degradation VI (periplasmic)	treA	periplasmic trehalase	Trehalose Degradation	&beta;-D-glucopyranose
tRNA charging	"argS // ""cysS"" // ""glnS"" // ""gltX"" // ""ileS"" // ""leuS"" // ""valS"" // ""alaS"" // ""asnS"" // ""aspS"" // ""tyrS"" // ""trpS"" // ""thrS"" // ""serS"" // ""proS"" // ""pheS"" // ""pheT"" // ""lysU"" // ""lysS"" // ""hisS"" // ""glyS"" // ""glyQ"" // ""metG"" // ""glyW"" // ""glyT"" // ""glyX"" // ""glyU"" // ""glyY"" // ""glyV"" // ""hisR"" // ""lysQ"" // ""lysT"" // ""lysY"" // ""lysV"" // ""lysZ"" // ""lysW"" // ""metT"" // ""metU"" // ""metV"" // ""metY"" // ""metZ"" // ""metW"" // ""pheU"" // ""pheV"" // ""proL"" // ""proM"" // ""proK"" // ""serW"" // ""serT"" // ""serX"" // ""serU"" // ""serV"" // ""selC"" // ""thrU"" // ""thrV"" // ""thrW"" // ""thrT"" // ""trpT"" // ""tyrV"" // ""tyrT"" // ""tyrU"" // ""aspT"" // ""aspU"" // ""aspV"" // ""asnV"" // ""asnW"" // ""asnT"" // ""asnU"" // ""alaV"" // ""alaW"" // ""alaT"" // ""alaX"" // ""alaU"" // ""valU"" // ""valY"" // ""valV"" // ""valZ"" // ""valW"" // ""valT"" // ""valX"" // ""leuZ"" // ""leuV"" // ""leuQ"" // ""leuW"" // ""leuT"" // ""leuX"" // ""leuU"" // ""leuP"" // ""ileX"" // ""ileV"" // ""ileY"" // ""ileT"" // ""ileU"" // ""gltW"" // ""gltT"" // ""gltU"" // ""gltV"" // ""glnV"" // ""glnW"" // ""glnX"" // ""glnU"" // ""cysT"" // ""argZ"" // ""argW"" // ""argQ"" // ""argX"" // ""argU"" // ""argY"" // ""argV"""	"ARGS-MONOMER // CYSS-MONOMER // GLNS-MONOMER // GLURS-MONOMER // ILES-MONOMER // LEUS-MONOMER // VALS-MONOMER // ""alanyl-tRNA synthetase and DNA-binding transcriptional repressor"" // ""asparaginyl-tRNA synthetase"" // ""aspartyl-tRNA synthetase"" // ""tyrosyl-tRNA synthetase"" // ""tryptophanyl-tRNA synthetase"" // ""threonyl-tRNA synthetase"" // ""seryl-tRNA synthetase"" // ""prolyl-tRNA synthetase"" // ""phenylalanyl-tRNA synthetase &alpha;-chain"" // ""phenylalanyl-tRNA synthetase &beta;-chain"" // ""lysyl-tRNA synthetase"" // ""lysyl-tRNA synthetase, constitutive"" // ""histidyl-tRNA synthetase"" // ""glycyl-tRNA synthetase, &beta; subunit"" // ""glycyl-tRNA synthetase, &alpha; subunit"" // ""methionyl-tRNA synthetase"""	"Aminoacyl-tRNA Charging // ""Metabolic Clusters"""	"an L-methionyl-[initiator tRNA<SUP>met</SUP>] // ""diphosphate"" // ""AMP"" // ""a glycyl-[tRNA<SUP>gly</SUP>]"" // ""an L-histidyl-[tRNA<SUP>his</SUP>]"" // ""an L-lysyl-[tRNA<SUP>lys</SUP>]"" // ""an L-methionyl-[elongator tRNA<SUP>met</SUP>]"" // ""an L-phenylalanyl-[tRNA<SUP>phe</SUP>]"" // ""an L-prolyl-[tRNA<SUP>pro</SUP>]"" // ""an L-seryl-[tRNA<SUP>ser</SUP>]"" // ""an L-threonyl-[tRNA<SUP>thr</SUP>]"" // ""an L-tryptophanyl-[tRNA<SUP>trp</SUP>]"" // ""an L-tyrosyl-[tRNA<SUP>tyr</SUP>]"" // ""L-aspartyl-tRNA<SUP>asp</SUP>"" // ""an L-asparaginyl-[tRNA<SUP>asn</SUP>]"" // ""an L-alanyl-[tRNA<SUP>ala</SUP>]"" // ""an L-valyl-[tRNA<SUP>val</SUP>]"" // ""an L-leucyl-[tRNA<SUP>leu</SUP>]"" // ""an L-isoleucyl-[tRNA<SUP>ile</SUP>]"" // ""an L-glutamyl-[tRNA<SUP>Glu</SUP>]"" // ""an L-glutaminyl-[tRNA<SUP>gln</SUP>]"" // ""an L-cysteinyl-[tRNA<SUP>cys</SUP>]"" // ""an L-arginyl-[tRNA<SUP>arg</SUP>]"""
tRNA processing	"pnp // ""rnb"" // ""rbn"" // ""rnpB"" // ""rnpA"" // ""rnt"" // ""rnd"" // ""rph"" // ""rne"""	"polynucleotide phosphorylase // ""ribonuclease II"" // ""RNase BN"" // ""RNase P"" // ""RNase T"" // ""RNase D"" // ""RNase PH"" // ""ribonuclease E"""	Nucleic Acid Processing	"a ribonucleoside diphosphate // ""a ribonucleoside 5'-monophosphate"" // ""a tRNA fragment"" // ""an uncharged tRNA"" // ""a nucleoside 5'-monophosphate"""
two-component alkanesulfonate monooxygenase	"ssuE // ""ssuD"""	"NADPH-dependent FMN reductase // ""alkanesulfonate monooxygenase, FMNH<sub>2</sub>-dependent"""	Sulfur Compounds Metabolism	"an aldehyde // ""sulfite"" // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"""
ubiquinol-8 biosynthesis (prokaryotic)	"ubiF // ""ubiE"" // ""ubiH"" // ""ubiG"" // ""ubiI"" // ""ubiD"" // ""ubiA"""	"OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON // ""bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"" // OCTAPRENYL-METHOXYPHENOL-OH-MONOMER // ""bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase"" // ""2-octaprenylphenol hydroxylase"" // ""3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer"" // 4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	Ubiquinol Biosynthesis	"diphosphate // ""CO<SUB>2</SUB>"" // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"" // ""<i>S</i>-adenosyl-L-homocysteine"" // ""ubiquinol-<i>8</i>"" // ""an oxidized unknown electron acceptor"""
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	ugd		"<i>O</i>-Antigen Biosynthesis // ""UDP-sugar Biosynthesis"""	"H<SUP>+</SUP> // ""NADH"" // ""UDP-&alpha;-D-glucuronate"""
UDP-D-galactose biosynthesis	galE	UDP-glucose 4-epimerase monomer	UDP-sugar Biosynthesis	UDP-&alpha;-D-galactose
UDP-glucose biosynthesis	"galU // ""pgm"""	UTP:glucose-1-phosphate uridylyltransferase // PHOSPHOGLUCMUT-MONOMER	UDP-sugar Biosynthesis	"UDP-&alpha;-D-glucose // ""diphosphate"""
UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	"wecC // ""wecB"""	"UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase // ""UDP-<i>N</i>-acetylglucosamine 2-epimerase"""	"<i>O</i>-Antigen Biosynthesis // ""UDP-sugar Biosynthesis"""	"UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminuronate // ""NADH"" // ""H<SUP>+</SUP>"""
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	"glmU // ""glmS"" // ""glmM"" // ""pgi"""	"fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase // ""L-glutamine:D-fructose-6-phosphate aminotransferase"" // ""phosphoglucosamine mutase"" // "	"<i>O</i>-Antigen Biosynthesis // ""UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis"""	"L-glutamate // ""coenzyme A"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine"" // ""diphosphate"""
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	"murA // ""murB"" // ""murF"" // ""murC"" // ""murD"" // ""murI"" // ""murE"" // ""ddlA"" // ""ddlB"""	"UDP-<i>N</i>-acetylglucosamine enolpyruvoyl transferase // ""UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase"" // UDP-NACMURALGLDAPAALIG-MONOMER // ""UDP-<i>N</i>-acetylmuramate-alanine ligase"" // ""UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase"" // ""glutamate racemase"" // UDP-NACMURALGLDAPLIG-MONOMER // DALADALALIGA-MONOMER // ""D-alanine-D-alanine ligase B"""	UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis	"phosphate // ""ADP"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine"" // ""NADP<sup>+</sup>"""
UhpBA Two Component Signal Transduction System	"uhpA // ""uhpB"""		Signal transduction pathways	"ADP // ""UhpA-Phosphorylated DNA-binding transcriptional activator"""
UMP biosynthesis	"carB // ""carA"" // ""pyrB"" // ""pyrI"" // ""pyrC"" // ""pyrE"" // ""pyrF"" // ""pyrD"""	"carbamoyl phosphate synthetase, &beta; chain // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""aspartate carbamoyltransferase, catalytic subunit"" // ""aspartate carbamoyltransferase, regulatory subunit"" // ""PyrC"" // ""PyrE"" // ""PyrF"" // ""dihydroorotate dehydrogenase, type 2"""	Pyrimidine Ribonucleotides <i>De Novo</i> Biosynthesis	"an ubiquinol // ""CO<SUB>2</SUB>"" // ""UMP"" // ""diphosphate"" // ""phosphate"" // ""L-glutamate"" // ""ADP"""
